CLUPA_POLICY_ID,PARK_ADMIN_ZONE_NAME_ENG,PARK_ADMIN_ZONE_NAME_FR,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
121073112,Northeast,Nord-est,2018/02/06 14:43:54+00,2018/02/06 23:27:15+00,17789
70758630,Southeast,Sud-ouest,2011/03/23 09:51:07+00,2018/09/12 22:27:15+00,18119
205001083,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17549
205001079,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2016/06/02 22:57:35+00,16811
205000956,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17329
205000506,Northwest,Nord-ouest,2009/09/28 13:57:33+00,2020/08/13 22:21:56+00,19499
70757845,Southeast,Sud-ouest,2011/03/21 14:46:42+00,2017/03/07 23:17:15+00,17210
125087388,Southeast,Sud-est,2019/01/08 13:47:22+00,2019/01/09 02:42:15+00,18190
205001010,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17330
205000998,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17331
205000969,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17332
205000984,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17333
205000978,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17334
205000972,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17335
205001004,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17336
205000983,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17337
205000981,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17338
205000955,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17339
205000985,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17340
205000215,Northwest,Nord-ouest,2009/03/09 15:12:47+00,2020/08/13 22:21:56+00,19355
205000992,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17342
205000991,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17343
205001003,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17344
205000960,Central,Centre,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17345
205001001,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17346
205000970,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17347
205000976,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17348
205000975,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17349
205000997,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17350
205000959,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17351
205001092,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17550
205000967,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17352
205000994,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17353
205000963,Central,Centre,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17354
205000986,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17355
205000214,Northwest,Nord-ouest,2009/03/09 15:11:52+00,2020/08/13 22:21:56+00,19356
205001000,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17356
205000993,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17357
205000995,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17358
205000964,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17359
205001068,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17551
205000977,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17360
205000980,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17361
205000988,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17362
205001008,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17363
205000999,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17364
205001088,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17553
205000966,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17365
107102686,Northwest,Nord-ouest,2014/06/03 11:19:42+00,2017/07/13 22:52:15+00,17366
205000990,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17367
205001002,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17368
205001059,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17554
205000961,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17369
108313517,Northeast,Nord-est,2014/06/19 09:54:12+00,2017/07/13 22:52:15+00,17370
205000979,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17371
205000982,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17372
205000974,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17373
205000996,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17374
205000958,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17375
205000957,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/13 22:52:15+00,17376
205001089,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17555
68650456,Northwest,Nord-ouest,2009/03/23 15:40:55+00,2017/07/17 23:02:15+00,17556
205001124,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17557
205001161,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17558
205001102,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17559
205001181,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17560
205001067,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17561
205001061,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17562
205001108,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17563
205001050,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17564
205001115,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17565
205001165,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17566
205001160,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17567
205001104,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17568
205001136,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17569
205001178,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17570
70249634,Northeast,Nord-est,2010/08/30 15:36:27+00,2017/07/17 23:02:15+00,17571
205001112,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17572
205001100,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17573
205001080,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17574
205001180,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/17 23:02:15+00,17575
205001216,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17578
205001200,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17579
205001195,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17580
205001217,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17581
205001197,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17582
205001201,Southeast,Sud-est,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17583
205001193,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17584
205001214,Southeast,Sud-est,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17585
205001207,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17586
71451136,Northeast,Nord-est,2014/06/18 11:27:56+00,2017/07/18 22:42:15+00,17587
205001196,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17588
71451149,Northeast,Nord-est,2014/06/18 14:50:09+00,2017/07/18 22:42:15+00,17590
205001213,Southeast,Sud-est,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17591
70225557,Southwest,Sud-ouest,2010/06/30 16:19:33+00,2015/01/29 23:22:35+00,15459
205001203,Southeast,Sud-est,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17592
205000199,Northwest,Nord-ouest,2009/03/09 14:30:39+00,2020/08/13 22:21:56+00,19361
205001212,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17595
205001194,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17596
205001209,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17597
205001205,Southeast,Sud-est,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17598
205001211,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17599
205001210,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17600
205001198,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17601
205001206,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17602
205001204,Algonquin,Algonquin,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17603
205001199,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17604
205001202,Algonquin,Algonquin,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17605
205001192,Central,Centre,2006/03/27 11:45:00+00,2017/07/18 22:42:15+00,17606
205000187,Northwest,Nord-ouest,2009/03/09 14:12:28+00,2020/08/13 22:21:56+00,19370
205000185,Northwest,Nord-ouest,2009/03/09 14:08:11+00,2020/08/13 22:21:56+00,19371
205000125,Northwest,Nord-ouest,2009/03/05 10:30:17+00,2020/08/13 22:21:56+00,19429
205054712,Northeast,Nord-est,2009/03/05 10:15:58+00,2020/08/13 22:21:56+00,19436
205000078,Northeast,Nord-est,2009/03/04 13:54:10+00,2020/08/13 22:21:56+00,19477
205000936,Central,Centre,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17309
120733802,Southeast,Sud-est,2018/01/24 11:45:41+00,2018/01/24 23:12:15+00,17770
71235068,Southwest,Sud-ouest,2011/04/06 11:14:11+00,2017/07/19 22:27:15+00,17609
205000156,Northwest,Nord-ouest,2009/03/09 11:00:53+00,2020/08/18 22:11:56+00,20016
71236518,Southwest,Sud-ouest,2011/04/07 09:52:11+00,2017/07/19 22:27:15+00,17610
